ID	Arc_ID	BeginNode	EndNode	LeftPolygon	RightPolygon	MiddlePtsNum	MiddlePtsCooridinate	LX	LY	RX	RY
0	-778578	30022640	30016700	-422445056	-133247616	0		38433798.33	3739997.78791319	38433798.33	3740746.75066157
0	-778579	30016700	1000046	-422445056	-1702772021	0		38433798.33	3739683.5	38433798.33	3739997.78791319
0	-778841	1000046	30010760	-422445056	-962396116	0		38433798.33	3739225.15130791	38433798.33	3739683.5
0	-778842	30010760	30006820	-422445056	600418560	0		38433798.33	3738702.35243685	38433798.33	3739225.15130791
0	-778843	30006820	1000047	-422445056	-1730789024	0		38433798.33	3737722.3094	38433798.33	3738702.35243685
0	-779105	1000047	-26000120	-422445056	-1790579360	0		38433254.8715505	3737722.3094	38433798.33	3737722.3094
0	-779106	-26000120	-17000060	-422445056	-2105843880	0		38431872.1061914	3737722.3094	38433254.8715505	3737722.3094
0	-779107	-17000060	1000048	-422445056	-2074453060	0		38431488	3737722.3094	38431872.1061914	3737722.3094
0	-779369	1000048	-4000060	-422445056	274898398	0		38429893.7934093	3737722.3094	38431488	3737722.3094
0	-779370	-4000060	1000049	-422445056	-1664043446	0		38429177.67	3737722.3094	38429893.7934093	3737722.3094
0	-779632	1000049	1000050	-422445056	708300288	0		38429177.67	3737722.3094	38429177.67	3739683.5
0	-779894	1000050	14880	-422445056	-731082556	0		38429177.67	3739683.5	38429177.67	3739796.96439864
0	-779895	14880	1000051	-422445056	161386992	0		38429177.67	3739796.96439864	38429177.67	3741644.6906
0	-780157	1000051	-1030180	-422445056	1962699628	0		38429177.67	3741644.6906	38429388.1101036	3741644.6906
0	-780158	-1030180	-7030240	-422445056	-418369714	0		38429388.1101036	3741644.6906	38430261.8736488	3741644.6906
0	-780159	-7030240	-9030300	-422445056	465250008	0		38430261.8736488	3741644.6906	38430711.0212533	3741644.6906
0	-780160	-9030300	-12030360	-422445056	-459763712	0		38430711.0212533	3741644.6906	38431164.0386603	3741644.6906
0	-780161	-12030360	1000044	-422445056	1181245568	0		38431164.0386603	3741644.6906	38431488	3741644.6906
0	-780423	1000043	15014760	-418369714	-352846124	0		38431488	3739683.5	38431488	3739756.84372718
0	-780424	15014760	15018700	465250008	1061924256	0		38431488	3739756.84372718	38431488	3740269.99394391
0	-780425	15018700	15023640	-459763712	77371072	0		38431488	3740269.99394391	38431488	3740882.0636604
0	-780426	15023640	15025580	1181245568	1209524624	0		38431488	3740882.0636604	38431488	3741149.50880137
0	-780427	15025580	15026520	123774175	-2026062496	0		38431488	3741149.50880137	38431488	3741369.94424324
0	-780428	15026520	15027520	-477590132	-1651272928	0		38431488	3741369.94424324	38431488	3741385.5561269
0	-780429	15027520	15028580	123774175	-2026062496	0		38431488	3741385.5561269	38431488	3741583.43300918
0	-780430	15028580	1000044	1181245568	1209524624	0		38431488	3741583.43300918	38431488	3741644.6906
0	-780702	1000043	1000052	-352846124	1103635848	0		38431488	3739683.5	38431577.136186	3739759.16583569
0	-780703	1000052	1000053	1061924256	-1702772021	0		38431577.136186	3739759.16583569	38431964.2268899	3740087.7590019
0	-780704	1000053	1000054	77371072	-133247616	0		38431964.2268899	3740087.7590019	38432461.4149857	3740509.81153121
0	-780705	1000054	1000045	1209524624	-1783192766	0		38432461.4149857	3740509.81153121	38433798.33	3741644.6906
0	-780980	1000043	-16015240	1103635848	600418560	0		38431488	3739683.5	38431741.6742824	3739683.5
0	-780981	-16015240	1000046	-1702772021	-962396116	0		38431741.6742824	3739683.5	38433798.33	3739683.5
0	-781259	1000043	1000055	600418560	-477348265	0		38431488	3739173.12766232	38432089.230968	3739683.5
0	-781260	1000055	1000047	-1730789024	-1790579360	0		38432089.230968	3737722.3094	38433798.33	3739173.12766232
0	-781539	1000043	15011820	-477348265	302803002	0		38431488	3739411.96461044	38431488	3739683.5
0	-781540	15011820	15009880	-1790579360	1743175632	0		38431488	3739030.09812105	38431488	3739411.96461044
0	-781541	15009880	15005940	-2105843880	-1664043446	0		38431488	3738544.35155832	38431488	3739030.09812105
0	-781542	15005940	1000048	-2074453060	274898398	0		38431488	3737722.3094	38431488	3738544.35155832
0	-781821	1000043	1000057	302803002	-1467109608	0		38431311.4267615	3739533.61068739	38431488	3739683.5
0	-781822	1000057	1000056	1743175632	-418493984	0		38431053.6097304	3739314.7552261	38431311.4267615	3739533.61068739
0	-781823	1000056	1000049	-1664043446	708300288	0		38429177.67	3737722.3094	38431053.6097304	3739314.7552261
0	-782104	1000043	-13015180	-1467109608	-1325642336	0		38431226.7382012	3739683.5	38431488	3739683.5
0	-782105	-13015180	-3015120	-418493984	161386992	0		38429728.7244396	3739683.5	38431226.7382012	3739683.5
0	-782106	-3015120	1000050	708300288	-731082556	0		38429177.67	3739683.5	38429728.7244396	3739683.5
0	-782387	1000043	1000058	-1325642336	-418369714	0		38430471.450128	3739683.5	38431488	3740546.42782993
0	-782388	1000058	1000051	161386992	1962699628	0		38429177.67	3740546.42782993	38430471.450128	3741644.6906
